0 hermite_formula_-10000000000000000.0000000_10000000000000000.000000,"Average Error","Error LB","Error UB","Abs. Worst"
18 hermite_formula_-1000000.0000000_10000000.000000,0.0000000006,-0.0000000363,0.0000000000,0.0000000363
1 hermite_formula_-1000000.0000000_10000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-1000000.0000000_10000000.000000,0.0000000005,-0.0000000299,0.0000000000,0.0000000299
2 hermite_formula_-1000000.0000000_10000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-1000000.0000000_10000000.000000,0.0000000020,0.0000000000,0.0000000446,0.0000000446
4 hermite_formula_-1000000.0000000_10000000.000000,0.0000000067,-0.0000000347,0.0000000332,0.0000000347
5 hermite_formula_-1000000.0000000_10000000.000000,0.0000000227,-0.0000000515,0.0000000468,0.0000000515
6 hermite_formula_-1000000.0000000_10000000.000000,0.0000000193,-0.0000000554,0.0000000439,0.0000000554
7 hermite_formula_-1000000.0000000_10000000.000000,0.0000000211,-0.0000000488,0.0000000401,0.0000000488
8 hermite_formula_-1000000.0000000_10000000.000000,0.0000000225,-0.0000000456,0.0000000486,0.0000000486
9 hermite_formula_-1000000.0000000_10000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
,0.0000000000,0.0000000000,0.0000000000,0.0000000000
0 hermite_formula_-100000.0000000_1000000.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-100000.0000000_1000000.000000,0.0000000018,-0.0000000262,0.0000000444,0.0000000444
11 hermite_formula_-100000.0000000_1000000.000000,0.0000000001,0.0000000000,0.0000000040,0.0000000040
13 hermite_formula_-100000.0000000_1000000.000000,0.0000000004,0.0000000000,0.0000000235,0.0000000235
14 hermite_formula_-100000.0000000_1000000.000000,0.0000000006,0.0000000000,0.0000000359,0.0000000359
15 hermite_formula_-100000.0000000_1000000.000000,0.0000000005,-0.0000000299,0.0000000000,0.0000000299
16 hermite_formula_-100000.0000000_1000000.000000,0.0000000000,-0.0000000000,0.0000000000,0.0000000000
17 hermite_formula_-100000.0000000_1000000.000000,0.0000000004,0.0000000000,0.0000000240,0.0000000240
18 hermite_formula_-100000.0000000_1000000.000000,0.0000000004,0.0000000000,0.0000000278,0.0000000278
1 hermite_formula_-100000.0000000_1000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-100000.0000000_1000000.000000,0.0000000024,-0.0000000327,0.0000000309,0.0000000327
2 hermite_formula_-100000.0000000_1000000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-100000.0000000_1000000.000000,0.0000000081,-0.0000000415,0.0000000367,0.0000000415
4 hermite_formula_-100000.0000000_1000000.000000,0.0000000210,-0.0000000563,0.0000000511,0.0000000563
5 hermite_formula_-100000.0000000_1000000.000000,0.0000000216,-0.0000000462,0.0000000429,0.0000000462
6 hermite_formula_-100000.0000000_1000000.000000,0.0000000240,-0.0000000475,0.0000000527,0.0000000527
7 hermite_formula_-100000.0000000_1000000.000000,0.0000000222,-0.0000000514,0.0000000447,0.0000000514
8 hermite_formula_-100000.0000000_1000000.000000,0.0000000232,-0.0000000530,0.0000000487,0.0000000530
9 hermite_formula_-100000.0000000_1000000.000000,0.0000000006,-0.0000000363,0.0000000000,0.0000000363
,0.0000000001,0.0000000000,0.0000000046,0.0000000046
0 hermite_formula_-10000.0000000_100000.000000,"Average Error","Error LB","Error UB","Abs. Worst"
11 hermite_formula_-10000.0000000_100000.000000,0.0000000065,-0.0000000462,0.0000000452,0.0000000462
13 hermite_formula_-10000.0000000_100000.000000,0.0000000003,-0.0000000204,0.0000000000,0.0000000204
14 hermite_formula_-10000.0000000_100000.000000,0.0000000000,-0.0000000019,0.0000000000,0.0000000019
15 hermite_formula_-10000.0000000_100000.000000,0.0000000003,-0.0000000168,0.0000000000,0.0000000168
16 hermite_formula_-10000.0000000_100000.000000,0.0000000010,-0.0000000334,0.0000000267,0.0000000334
17 hermite_formula_-10000.0000000_100000.000000,0.0000000018,-0.0000000273,0.0000000362,0.0000000362
18 hermite_formula_-10000.0000000_100000.000000,0.0000000036,-0.0000000328,0.0000000317,0.0000000328
1 hermite_formula_-10000.0000000_100000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-10000.0000000_100000.000000,0.0000000120,-0.0000000438,0.0000000448,0.0000000448
2 hermite_formula_-10000.0000000_100000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-10000.0000000_100000.000000,0.0000000233,-0.0000000534,0.0000000565,0.0000000565
4 hermite_formula_-10000.0000000_100000.000000,0.0000000209,-0.0000000521,0.0000000470,0.0000000521
5 hermite_formula_-10000.0000000_100000.000000,0.0000000214,-0.0000000476,0.0000000522,0.0000000522
6 hermite_formula_-10000.0000000_100000.000000,0.0000000213,-0.0000000547,0.0000000537,0.0000000547
7 hermite_formula_-10000.0000000_100000.000000,0.0000000209,-0.0000000416,0.0000000536,0.0000000536
9 hermite_formula_-10000.0000000_100000.000000,0.0000000199,-0.0000000509,0.0000000409,0.0000000509
,0.0000000001,-0.0000000085,0.0000000000,0.0000000085
0 hermite_formula_-10000.000000_10000.000000,"Average Error","Error LB","Error UB","Abs. Worst"
10 hermite_formula_-10000.000000_10000.000000,0.0000000241,-0.0000000528,0.0000000573,0.0000000573
11 hermite_formula_-10000.000000_10000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12 hermite_formula_-10000.000000_10000.000000,0.0000000005,0.0000000000,0.0000000313,0.0000000313
13 hermite_formula_-10000.000000_10000.000000,0.0000000004,-0.0000000260,0.0000000000,0.0000000260
14 hermite_formula_-10000.000000_10000.000000,0.0000000001,-0.0000000040,0.0000000000,0.0000000040
15 hermite_formula_-10000.000000_10000.000000,0.0000000000,0.0000000000,0.0000000025,0.0000000025
16 hermite_formula_-10000.000000_10000.000000,0.0000000009,-0.0000000477,0.0000000091,0.0000000477
17 hermite_formula_-10000.000000_10000.000000,0.0000000028,-0.0000000335,0.0000000319,0.0000000335
18 hermite_formula_-10000.000000_10000.000000,0.0000000072,-0.0000000467,0.0000000571,0.0000000571
1 hermite_formula_-10000.000000_10000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
19 hermite_formula_-10000.000000_10000.000000,0.0000000233,-0.0000000457,0.0000000512,0.0000000512
2 hermite_formula_-10000.000000_10000.000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3 hermite_formula_-10000.000000_10000.000000,0.0000000195,-0.0000000485,0.0000000490,0.0000000490
4 hermite_formula_-10000.000000_10000.000000,0.0000000177,-0.0000000429,0.0000000421,0.0000000429
5 hermite_formula_-10000.000000_10000.000000,0.0000000203,-0.0000000446,0.0000000467,0.0000000467
